Atomic Number,Name,Symbol,Atomic Weight,Density,Absolute Melting Point,Absolute Boiling Point,Critical Pressure,Specific Heat,Thermal Conductivity,Thermal Expansion,Molar Volume,Electronegativity,ElectronAffinity,Valence,IonizationEnergy_Mean,Electrical Conductivity,Resistivity,Superconducting Point,Magnetic Type,Mass Magnetic Susceptibility,Molar Magnetic Susceptibility,Crystal Structure
1,Hydrogen,H,1.008,0.0899,14.01,20.28,12.76,14300.0,0.1805,,0.01121,2.2,72.8,1.0,1312.0,,,,Diamagnetic,-2.48e-08,-4.999e-11,Simple Hexagonal
2,Helium,He,4.002602,0.1785,,4.22,2.24,5193.1,0.1513,,0.022424,,0.0,0.0,3811.4,,,,Diamagnetic,-5.9e-09,-2.36e-11,Face-centered Cubic
3,Lithium,Li,6.94,0.535,453.69,1615.0,661.2,3570.0,85.0,4.6e-05,1.297e-05,0.98,59.6,1.0,6544.433333333333,11000000.0,9.400000000002e-08,,Paramagnetic,2.56e-08,1.78e-10,Body-centered Cubic
4,Beryllium,Be,9.0121831,1.848,1560.0,2743.0,,1820.0,190.0,1.13e-05,4.8767e-06,1.57,0.0,2.0,9627.974999999999,25000000.0,3.999999999998e-08,0.026,Diamagnetic,-1.26e-08,-1.136e-10,Simple Hexagonal
5,Boron,B,10.81,2.46,2348.0,4273.0,,1030.0,27.0,6e-06,4.3943e-06,2.04,26.7,3.0,12947.98,0.0001,10000.0,,Diamagnetic,-8.7e-09,-9.41e-11,Simple Trigonal
6,Carbon,C,12.011,2.26,3823.0,4300.0,,710.0,140.0,7.1e-06,5.3146e-06,2.55,153.9,4.0,16565.05,100000.0,1e-05,,Diamagnetic,-6.2e-09,-7.45e-11,Simple Hexagonal
7,Nitrogen,N,14.007,1.251,63.05,77.36,33.46,1040.0,0.02583,,0.011197,3.04,7.0,3.0,20483.27142857143,,,,Diamagnetic,-5.4e-09,-1.5e-10,Simple Hexagonal
8,Oxygen,O,15.999,1.429,54.8,90.2,49.77,919.0,0.02658,,0.011196,3.44,141.0,2.0,24649.4875,,,,Paramagnetic,1.335e-06,4.27184e-08,Base-centered Monoclinic
9,Fluorine,F,18.998403163,1.696,53.5,85.03,51.04,824.0,0.0277,,0.011202,3.98,328.0,1.0,29115.61111111111,,,,,,,Base-centered Monoclinic
10,Neon,Ne,20.1797,0.9,24.56,27.07,27.24,1030.0,0.0491,,0.02242,,0.0,0.0,33882.1,,,,Diamagnetic,-4.1e-09,-8.27e-11,Face-centered Cubic
11,Sodium,Na,22.98976928,0.968,370.87,1156.0,345.4,1230.0,140.0,7e-05,2.375e-05,0.93,52.8,1.0,26738.51,21000000.0,4.699999999998e-08,,Paramagnetic,8.8e-09,2e-10,Body-centered Cubic
12,Magnesium,Mg,24.305,1.738,923.0,1363.0,,1020.0,160.0,2.48e-05,1.3984e-05,1.31,0.0,2.0,16659.66,23000000.0,4.399999999999e-08,,Paramagnetic,6.9e-09,1.68e-10,Simple Hexagonal
13,Aluminum,Al,26.9815385,2.7,933.47,2792.0,,904.0,235.0,2.31e-05,9.99e-06,1.61,42.5,3.0,17105.4,38000000.0,2.6e-08,1.175,Paramagnetic,7.8e-09,2.1e-10,Face-centered Cubic
14,Silicon,Si,28.085,2.33,1687.0,3173.0,,710.0,150.0,2.6e-06,1.2054e-05,1.9,133.6,4.0,17151.77,1000.0,0.001,,Diamagnetic,-1.6e-09,-4.49e-11,Tetrahedral Packing
15,Phosphorus,P,30.973761998,1.823,317.3,553.6,,769.7,0.236,,1.6991e-05,2.19,71.0,5.0,17049.54,10000000.0,1e-07,,Diamagnetic,-1.13e-08,-3.5e-10,Simple Triclinic
16,Sulfur,S,32.06,1.96,388.36,717.87,204.3,705.0,0.205,,1.6357e-05,2.58,200.0,6.0,16528.870000000003,1e-15,1000000000000000.0,,Diamagnetic,-6.2e-09,-1.99e-10,Face-centered Orthorhombic
17,Chlorine,Cl,35.45,3.214,171.6,239.11,78.87,478.2,0.0089,,0.01103,3.16,349.0,5.0,15561.679999999998,0.01,100.0,,Diamagnetic,-7.2e-09,-5.11e-10,Base Orthorhombic
18,Argon,Ar,39.948,1.784,83.8,87.3,48.34,520.33,0.01772,,0.022392,,0.0,0.0,14269.039999999999,,,,Diamagnetic,-6e-09,-2.4e-10,Face-centered Cubic
19,Potassium,K,39.0983,0.856,336.53,1032.0,157.9,757.0,100.0,,4.568e-05,0.82,48.4,1.0,12319.35,14000000.0,7.000000000002e-08,,Paramagnetic,6.7e-09,2.62e-10,Body-centered Cubic
20,Calcium,Ca,40.078,1.55,1115.0,1757.0,,631.0,200.0,2.23e-05,2.5857e-05,1.0,2.37,2.0,13995.418181818182,29000000.0,3.399999999999e-08,,Paramagnetic,1.38e-08,5.531e-10,Face-centered Cubic
21,Scandium,Sc,44.955908,2.985,1814.0,3103.0,,567.0,16.0,1.02e-05,1.5061e-05,1.36,18.1,3.0,95503.34761904762,1800000.0,5.5e-07,0.05,Paramagnetic,8.8e-08,3.956e-09,Simple Hexagonal
22,Titanium,Ti,47.867,4.507,1941.0,3560.0,,520.0,22.0,8.6e-06,1.0621e-05,1.54,7.6,4.0,76244.65238095238,2500000.0,4e-07,0.4,Paramagnetic,4.01e-08,1.919e-09,Simple Hexagonal
23,Vanadium,V,50.9415,6.11,2183.0,3680.0,,489.0,31.0,8.4e-06,8.3374e-06,1.63,50.6,5.0,53858.55238095239,5000000.0,2e-07,5.4,Paramagnetic,6.28e-08,3.199e-09,Body-centered Cubic
24,Chromium,Cr,51.9961,7.19,2180.0,2944.0,,448.0,94.0,4.9e-06,7.2317e-06,1.66,64.3,6.0,52773.876190476185,7900000.0,1.3e-07,,Antiferromagnetic,4.45e-08,2.314e-09,Body-centered Cubic
25,Manganese,Mn,54.938044,7.47,1519.0,2334.0,,479.0,7.7,2.17e-05,7.3545e-06,1.55,0.0,4.0,51170.061904761904,620000.0,1.6e-06,,Paramagnetic,1.21e-07,6.6475e-09,Body-centered Cubic
26,Iron,Fe,55.845,7.874,1811.0,3134.0,,449.0,79.0,1.18e-05,7.0923e-06,1.83,15.7,3.0,49287.49523809524,10000000.0,9.700000000001e-08,,Ferromagnetic,,,Body-centered Cubic
27,Cobalt,Co,58.933194,8.9,1768.0,3200.0,,421.0,100.0,1.3e-05,6.62e-06,1.88,63.7,4.0,46924.4,17000000.0,6.000000000002e-08,,Ferromagnetic,,,Simple Hexagonal
